t / s	&J_A21 / °C
0	19,6
1	19,6
2	19,4
3	19,5
4	19,6
5	19,6
6	19,4
7	19,4
8	19,7
9	19,5
10	19,5
11	19,4
12	19,5
13	19,7
14	19,5
15	19,6
16	19,6
17	19,6
18	19,6
19	19,5
20	19,5
21	19,7
22	19,6
23	19,5
24	19,6
25	19,5
26	19,7
27	19,6
28	19,5
29	19,4
30	19,5
31	19,5
32	19,6
33	19,5
34	19,4
35	19,4
36	19,4
37	19,5
38	19,4
39	19,5
40	19,5
41	19,5
42	19,5
43	19,4
44	19,4
45	19,5
46	19,4
47	19,5
48	19,5
49	19,5
50	19,6
51	19,6
52	19,5
53	19,4
54	19,5
55	19,4
56	19,6
57	19,5
58	19,5
59	19,6
60	19,6
61	19,5
62	19,5
63	19,4
64	19,5
65	19,5
66	19,5
67	19,4
68	19,4
69	19,6
70	19,5
71	19,6
72	19,5
73	19,4
74	19,5
75	19,6
76	19,4
77	19,3
78	19,4
79	19,5
80	19,5
81	19,5
82	19,5
83	19,5
84	19,5
85	19,5
86	19,5
87	19,4
88	19,5
89	19,5
90	19,5
91	19,4
92	19,5
93	19,5
94	19,6
95	19,5
96	19,5
97	19,6
98	19,5
99	19,6
100	19,4
101	19,5
102	19,4
103	19,5
104	19,5
105	19,6
106	19,5
107	19,5
108	19,4
109	19,5
110	19,4
111	19,5
112	19,4
113	19,5
114	19,5
115	19,6
116	19,7
117	19,3
118	19,4
119	19,5
120	19,4
121	19,5
122	19,5
123	19,4
124	19,5
125	19,6
126	19,5
127	19,5
128	19,3
129	19,4
130	19,5
131	19,5
132	19,4
133	19,5
134	19,4
135	19,4
136	19,5
137	19,5
138	19,6
139	19,5
140	19,5
141	19,4
142	19,5
143	19,5
144	19,5
145	19,5
146	19,5
147	19,5
148	19,4
149	19,6
150	19,6
151	19,6
152	19,6
153	19,5
154	19,5
155	19,4
156	19,5
157	19,5
158	19,5
159	19,6
160	19,4
161	19,4
162	19,6
163	19,5
164	19,4
165	19,4
166	19,3
167	19,4
168	19,3
169	19,5
170	19,4
171	19,4
172	19,1
173	19,5
174	19,3
175	19,3
176	19,2
177	19,3
178	19,3
179	19,3
180	19,3
181	19,3
182	19,3
183	19,2
184	19,3
185	19,1
186	19,1
187	19,3
188	19,3
189	19,0
190	19,3
191	19,3
192	19,1
193	19,1
194	19,2
195	19,2
196	19,2
197	19,3
198	18,3
199	19,1
200	19,1
201	19,1
202	19,1
203	19,1
204	19,1
205	19,0
206	19,0
207	18,9
208	18,7
209	18,8
210	18,5
211	18,2
212	18,0
213	17,8
214	17,4
215	17,3
216	17,2
217	17,1
218	15,5
219	16,6
220	16,2
221	16,0
222	15,7
223	15,3
224	15,1
225	14,8
226	14,5
227	14,2
228	13,9
229	13,6
230	13,7
231	13,3
232	13,2
233	13,0
234	12,4
235	12,3
236	12,1
237	11,8
238	11,5
239	11,3
240	10,9
241	10,8
242	9,5
243	9,5
244	10,3
245	10,0
246	9,8
247	9,5
248	9,3
249	9,1
250	8,8
251	8,5
252	5,9
253	8,1
254	7,8
255	7,7
256	7,6
257	7,3
258	7,2
259	7,0
260	6,6
261	6,4
262	6,1
263	6,1
264	5,7
265	5,4
266	5,3
267	5,1
268	4,7
269	4,5
270	4,3
271	4,3
272	4,0
273	3,6
274	3,4
275	3,2
276	3,0
277	2,6
278	2,3
279	2,0
280	1,8
281	1,5
282	1,2
283	1,0
284	0,9
285	0,3
286	0,3
287	0,0
288	-0,2
289	-0,5
290	-0,7
291	-1,1
292	-1,2
293	-1,5
294	-1,8
295	-2,0
296	-2,4
297	-2,4
298	-2,9
299	-2,9
300	-3,0
301	-3,3
302	-3,5
303	-3,6
304	-4,8
305	-4,1
306	-4,1
307	-4,5
308	-8,2
309	-4,7
310	-3,6
311	-2,0
312	-1,4
313	-0,8
314	-0,8
315	-0,7
316	-0,7
317	-0,6
318	-0,5
319	-0,6
320	-0,3
321	-0,6
322	-0,5
323	-0,7
324	-0,4
325	-0,5
326	-0,4
327	-0,6
328	-0,4
329	-0,4
330	-0,3
331	-0,6
332	-0,4
333	-0,5
334	-2,7
335	-0,6
336	-0,4
337	-0,5
338	-0,2
339	-0,5
340	-0,6
341	-0,5
342	-0,6
343	-0,4
344	-0,3
345	-0,3
346	-0,3
347	-0,5
348	-0,4
349	-0,3
350	-0,5
351	-0,4
352	-0,6
353	-0,5
354	-0,6
355	-0,6
356	-0,6
357	-0,4
358	-0,4
359	-0,4
360	-0,5
361	-0,6
362	-0,5
363	-0,8
364	-0,3
365	-0,5
366	-0,4
367	-0,6
368	-4,1
369	-0,4
370	-0,5
371	-0,5
372	-1,0
373	-1,0
374	-5,4
375	-0,5
376	-0,5
377	-0,7
378	-0,5
379	-0,4
380	-0,4
381	-0,6
382	-0,6
383	-0,5
384	-0,4
385	-0,5
386	-0,6
387	-0,4
388	-0,5
389	-0,6
390	-0,6
391	-0,6
392	-0,4
393	-0,5
394	-0,7
395	-0,5
396	-0,6
397	-0,6
398	-0,5
399	-0,6
400	-2,7
401	-0,7
402	-0,5
403	-0,5
404	-0,4
405	-0,5
406	-0,7
407	-1,0
408	-0,5
409	-0,4
410	-0,7
411	-0,5
412	-0,5
413	-2,1
414	-0,6
415	-0,7
416	-0,6
417	-0,6
418	-0,6
419	-1,7
420	-0,8
421	-0,7
422	-0,8
423	-0,8
424	-0,1
425	-0,6
426	-0,5
427	-0,5
428	-0,4
429	-0,6
430	-0,5
431	-0,7
432	-0,5
433	-0,6
434	-0,5
435	-0,5
436	-0,5
437	-0,6
438	-0,3
439	-0,6
440	-0,4
441	-0,5
442	-0,7
443	-0,6
444	-0,4
445	-0,8
446	-0,4
447	-0,7
448	-0,7
449	-0,5
450	-0,5
451	-0,5
452	-0,5
453	-0,6
454	-0,6
455	-0,6
456	-0,6
457	-0,4
458	-0,5
459	-0,6
460	-0,5
461	-0,6
462	-1,0
463	-0,6
464	-0,4
465	-0,5
466	-0,5
467	-0,5
468	-0,7
469	-0,5
470	-0,6
471	-0,6
472	-0,5
473	-0,6
474	-0,5
475	-0,6
476	-0,5
477	-0,5
478	-0,6
479	-0,7
480	-0,7
481	-0,8
482	-0,7
483	-0,6
484	-0,4
485	-0,7
486	-0,4
487	-0,6
488	-0,4
489	-0,8
490	-0,4
491	-0,5
492	-0,6
493	-0,6
494	-0,6
495	-0,4
496	-0,7
497	-0,7
498	-0,8
499	-0,6
500	-2,7
501	-0,6
502	-0,7
503	-0,6
504	-0,7
505	-0,7
506	-1,0
507	-0,8
508	-0,9
509	-1,1
510	-1,1
511	-1,5
512	-1,3
513	-1,7
514	-1,9
515	-1,9
516	-1,8
517	-2,7
518	-2,9
519	-3,2
520	-4,0
521	-4,2
522	-4,6
523	-5,0
524	-5,5
525	-6,0
526	-6,3
527	-6,9
528	-7,2
529	-7,6
530	-7,9
531	-8,2
532	-8,2
533	-8,3
534	-8,9
535	-9,1
536	-9,3
537	-9,6
538	-10,1
539	-10,0
540	-10,2
541	-10,6
542	-11,0
543	-10,9
544	-11,0
545	-11,3
546	-11,4
547	-11,3
548	-11,7
549	-11,7
550	-12,1
551	-12,2
552	-12,3
553	-12,4
554	-12,4
555	-12,9
556	-13,0
557	-13,0
558	-12,8
559	-13,5
560	-13,4
561	-13,5
562	-13,4
563	-13,8
564	-13,9
565	-14,1
566	-14,0
567	-19,8
568	-14,4
569	-14,4
570	-14,4
571	-14,7
572	-14,8
573	-15,2
574	-15,1
575	-15,0
576	-15,4
577	-15,4
578	-15,3
579	-16,8
580	-15,7
581	-15,7
582	-15,7
583	-16,2
584	-16,1
585	-16,3
586	-16,4
587	-16,3
588	-16,8
589	-16,6
590	-16,9
591	-16,9
592	-16,9
593	-17,0
594	-17,5
595	-17,4
596	-17,2
597	-17,4
598	-17,1
599	-17,6
600	-17,6
601	-17,6
602	-17,8
603	-17,4
604	-17,8
605	-17,4
606	-18,0
607	-18,0
608	-17,1
609	-17,9
610	-18,3
611	-18,4
612	-23,0
613	-18,1
614	-18,2
615	-18,2
616	-18,4
617	-18,6
618	-18,3
619	-18,3
620	-18,9
621	-18,7
622	-20,9
623	-18,5
624	-19,0
625	-18,2
626	-18,8
627	-18,9
628	-20,3
629	-19,1
630	-19,0
631	-19,1
632	-18,9
633	-19,0
634	-18,9
635	-18,8
636	-19,0
637	-19,0
638	-19,2
639	-19,3
640	-19,1
641	-19,5
642	-19,3
643	-19,6
644	-19,5
645	-19,3
646	-19,1
647	-19,1
648	-19,5
649	-19,1
650	-19,1
651	-19,5
652	-19,4
653	-19,5
654	-19,5
655	-19,5
656	-19,7
657	-19,6
658	-19,6
659	-19,6
660	-19,7
661	-19,6
662	-19,6
663	-19,7
664	-19,6
665	-19,6
666	-19,6
667	-19,5
668	-19,8
669	-19,5
670	-19,6
671	-19,8
672	-19,5
673	-19,5
674	-19,8
675	-20,4
676	-19,8
677	-19,7
678	-19,9
679	-19,8
680	-19,8
681	-19,6
682	-19,8
683	-19,8
684	-19,7
685	-19,6
686	-19,8
687	-19,9
688	-19,9
689	-19,9
690	-19,8
691	-19,9
692	-20,1
693	-19,8
694	-19,7
695	-22,7
696	-19,9
697	-19,8
698	-19,8
699	-20,6
700	-19,9
701	-19,8
702	-19,9
703	-20,1
704	-20,1
705	-19,9
706	-20,2
707	-19,8
708	-19,8
709	-19,8
710	-19,9
711	-20,2
712	-20,1
713	-20,2
714	-20,0
715	-20,0
716	-20,0
717	-20,0
718	-20,1
719	-20,2
720	-24,0
721	-20,2
722	-19,7
723	-20,0
724	-20,1
725	-19,9
726	-19,6
727	-20,2
728	-20,2
729	-19,8
730	-19,8
731	-20,0
732	-20,0
733	-19,8
734	-19,9
735	-19,9
736	-19,9
737	-20,1
738	-20,4
739	-20,7
740	-20,2
741	-21,7
742	-20,1
743	-20,4
744	-20,1
745	-20,1
746	-20,2
747	-20,3
748	-20,1
749	-20,3
750	-20,1
751	-20,2
752	-20,2
753	-20,4
754	-20,1
755	-20,2
756	-20,3
757	-20,4
758	-20,4
759	-20,1
760	-20,2
761	-20,1
762	-20,1
763	-20,2
764	-20,4
765	-20,2
766	-20,1
767	-20,0
768	-20,3
769	-20,2
