t / s	&J_A21 / °C
0	-15,0
1	-15,5
2	-15,1
3	-14,2
4	-14,2
5	-13,6
6	-12,9
7	-13,4
8	-11,0
9	-10,4
10	-9,4
11	-8,9
12	-7,8
13	-6,8
14	-6,1
15	-5,4
16	-4,4
17	-3,9
18	-3,9
19	-3,5
20	-4,0
21	-2,7
22	-2,0
23	-1,8
24	-1,6
25	-1,5
26	-1,3
27	-1,0
28	-1,1
29	-0,8
30	-0,9
31	-0,8
32	-0,8
33	-0,9
34	-0,7
35	-0,7
36	-0,7
37	-0,5
38	-0,6
39	-0,5
40	-0,5
41	-4,7
42	-0,5
43	-0,5
44	-0,5
45	-0,3
46	-0,5
47	-0,3
48	-0,2
49	-0,4
50	-0,3
51	-0,3
52	-0,3
53	-0,2
54	-0,3
55	-0,4
56	-1,5
57	-0,2
58	-0,4
59	-0,4
60	-0,1
61	-0,3
62	-0,2
63	-0,3
64	-0,1
65	-0,2
66	-0,1
67	-0,2
68	-1,5
69	-3,2
70	-0,1
71	0,0
72	0,0
73	0,0
74	-0,1
75	0,2
76	0,5
77	0,0
78	0,1
79	0,1
80	0,0
81	0,1
82	0,0
83	0,2
84	0,0
85	0,2
86	0,1
87	0,2
88	0,1
89	0,3
90	0,2
91	0,3
92	0,3
93	0,2
94	0,4
95	0,4
96	0,3
97	0,5
98	0,4
99	0,4
100	0,4
101	0,3
102	0,4
103	0,6
104	0,5
105	0,4
106	0,5
107	0,4
108	0,4
109	0,4
110	0,6
111	0,5
112	0,6
113	0,7
114	0,6
115	0,6
116	0,4
117	0,6
118	0,6
119	0,8
120	0,8
121	0,6
122	0,6
123	0,9
124	0,8
125	0,8
126	0,9
127	0,9
128	0,8
129	0,9
130	-0,4
131	1,0
132	0,9
133	1,1
134	0,9
135	0,3
136	1,1
137	1,1
138	1,6
139	1,1
140	1,2
141	1,3
142	1,1
143	1,3
144	1,2
145	0,8
146	1,5
147	1,3
148	1,5
149	1,6
150	1,5
151	1,5
152	1,7
153	2,1
154	2,6
155	2,9
156	3,2
157	4,5
158	5,4
159	6,2
160	7,3
161	8,3
162	9,4
163	10,2
164	10,5
165	13,1
166	13,2
167	15,9
168	15,8
169	19,3
170	20,4
171	21,4
172	18,8
173	23,2
174	24,1
175	24,8
176	25,6
177	26,2
178	26,7
179	27,5
180	27,4
181	28,2
182	28,5
183	29,1
184	29,7
185	30,3
186	31,0
187	31,7
188	32,0
189	32,5
190	33,0
191	33,7
192	33,9
193	34,6
194	35,2
195	35,7
196	35,6
197	36,2
198	36,6
199	37,1
200	37,7
201	37,6
202	38,7
203	39,2
204	39,6
205	40,1
206	40,7
207	41,2
208	41,7
209	42,0
210	42,7
211	42,6
212	43,0
213	43,6
214	42,6
215	44,3
216	44,9
217	45,2
218	45,7
219	46,3
220	46,7
221	47,1
222	47,5
223	47,9
224	48,3
225	48,3
226	48,8
227	49,3
228	49,7
229	50,0
230	50,2
231	50,7
232	51,2
233	51,7
234	52,0
235	52,4
236	52,6
237	53,2
238	53,5
239	54,1
240	54,1
241	54,4
242	54,0
243	55,1
244	55,5
245	54,5
246	56,5
247	56,6
248	57,0
249	57,3
250	57,7
251	58,1
252	58,5
253	58,8
254	59,2
255	59,2
256	59,5
257	59,9
258	60,1
259	60,4
260	60,9
261	61,1
262	61,4
263	61,7
264	62,0
265	62,3
266	62,6
267	60,4
268	63,2
269	63,5
270	63,5
271	63,8
272	64,0
273	64,5
274	64,0
275	64,9
276	65,2
277	65,5
278	64,4
279	66,0
280	66,4
281	66,6
282	67,1
283	67,1
284	67,4
285	67,5
286	67,7
287	67,9
288	68,1
289	68,5
290	68,6
291	68,9
292	69,3
293	69,4
294	69,6
295	70,0
296	70,1
297	70,3
298	70,7
299	70,8
300	70,6
301	70,5
302	71,4
303	71,6
304	71,9
305	72,1
306	72,3
307	72,5
308	72,8
309	73,0
310	73,3
311	73,4
312	73,6
313	73,6
314	73,9
315	74,2
316	74,4
317	74,5
318	74,7
319	74,9
320	75,2
321	75,3
322	75,6
323	75,8
324	75,9
325	76,2
326	76,4
327	76,3
328	76,5
329	76,6
330	77,0
331	76,2
332	77,2
333	77,5
334	77,7
335	77,9
336	78,0
337	78,3
338	78,4
339	78,5
340	78,7
341	78,8
342	78,9
343	79,2
344	79,4
345	79,4
346	79,6
347	80,0
348	80,0
349	80,2
350	80,4
351	80,5
352	80,7
353	80,8
354	81,1
355	81,2
356	81,3
357	81,4
358	81,4
359	81,7
360	82,0
361	82,0
362	82,2
363	82,3
364	82,4
365	82,6
366	82,7
367	83,1
368	83,2
369	83,3
370	83,4
371	83,6
372	83,5
373	83,8
374	83,8
375	84,0
376	84,3
377	84,1
378	83,7
379	84,5
380	84,6
381	84,8
382	84,9
383	85,0
384	85,2
385	85,1
386	85,3
387	85,2
388	85,7
389	85,9
390	86,0
391	86,0
392	86,3
393	86,3
394	86,5
395	86,0
396	86,7
397	86,8
398	86,4
399	86,9
400	87,1
401	87,2
402	87,5
403	87,4
404	87,6
405	87,6
406	87,4
407	87,8
408	87,8
409	88,0
410	88,2
411	88,2
412	88,5
413	88,4
414	88,4
415	88,6
416	88,7
417	88,8
418	89,0
419	89,2
420	89,3
421	88,4
422	88,4
423	89,0
424	89,6
425	89,5
426	89,7
427	89,7
428	89,2
429	89,9
430	90,0
431	89,6
432	90,4
433	90,5
434	90,4
435	90,6
436	90,7
437	90,7
438	90,7
439	90,9
440	91,0
441	91,1
442	91,2
443	91,4
444	91,4
445	91,4
446	91,5
447	91,7
448	91,7
449	90,9
450	91,8
451	92,2
452	92,1
453	92,0
454	91,9
455	92,2
456	92,3
457	92,3
458	90,5
459	92,4
460	92,5
461	92,5
462	92,7
463	91,9
464	92,9
465	93,0
466	92,6
467	93,0
468	93,0
469	93,1
470	90,0
471	93,3
472	93,2
473	93,0
474	93,1
475	93,5
476	93,5
477	93,7
478	93,8
479	94,0
480	94,3
481	94,0
482	94,3
483	94,2
484	94,3
485	94,3
486	94,4
487	94,4
488	94,3
489	94,6
490	92,5
491	94,5
492	94,5
493	94,7
494	94,7
495	94,8
496	94,8
497	94,9
498	94,9
499	95,1
500	94,3
501	94,9
502	95,2
503	95,3
504	95,0
505	94,8
506	95,3
507	94,8
508	95,3
509	95,5
510	95,4
511	95,4
512	95,6
513	95,5
514	95,7
515	95,7
516	95,8
517	95,8
518	94,8
519	96,0
520	95,9
521	95,9
522	96,0
523	96,2
524	96,0
525	96,2
526	96,4
527	96,4
528	96,4
529	96,4
530	96,4
531	96,3
532	96,2
533	96,3
534	96,6
535	95,8
536	96,5
537	96,8
538	96,7
539	96,8
540	96,7
541	96,7
542	96,9
543	96,8
544	96,5
545	96,4
546	96,9
547	94,9
548	96,9
549	96,9
550	97,2
551	97,2
552	97,3
553	97,0
554	97,0
555	97,1
556	97,1
557	97,3
558	97,3
559	97,4
560	97,4
561	97,6
562	97,4
563	97,5
564	97,4
565	97,1
566	97,6
567	97,6
568	97,6
569	97,8
570	97,8
571	97,8
572	97,6
573	97,8
574	97,9
575	97,9
576	97,8
577	98,0
578	97,8
579	97,8
580	97,9
581	98,0
582	97,2
583	98,2
584	98,3
585	98,4
586	98,4
587	95,9
588	98,3
589	98,6
590	98,2
591	95,9
592	98,3
593	98,6
594	98,1
595	98,6
596	98,5
597	98,7
598	98,6
599	95,7
600	99,0
601	98,8
602	98,7
603	98,4
604	99,0
605	98,8
606	97,8
607	99,0
608	98,3
609	98,9
610	98,9
611	98,9
612	99,0
613	99,0
614	99,1
615	99,1
616	99,1
617	99,2
618	99,1
619	99,1
620	99,1
621	99,3
622	99,4
623	99,4
624	99,5
625	99,0
626	99,6
627	99,7
628	99,5
629	99,7
630	99,7
631	99,7
632	99,0
633	95,4
634	99,7
635	99,8
636	99,8
637	100,1
638	99,9
639	96,5
640	99,9
641	99,8
642	100,9
643	99,9
644	99,9
645	100,1
