X,CH1,
Second,Volt,
-1.6387999e-01,9.60000e-03,
-1.6385999e-01,9.60000e-03,
-1.6384000e-01,9.60000e-03,
-1.6381998e-01,9.60000e-03,
-1.6379999e-01,9.60000e-03,
-1.6377999e-01,9.60000e-03,
-1.6375999e-01,9.60000e-03,
-1.6373999e-01,9.60000e-03,
-1.6372000e-01,9.60000e-03,
-1.6369998e-01,9.60000e-03,
-1.6367999e-01,9.60000e-03,
-1.6365999e-01,9.60000e-03,
-1.6363999e-01,9.60000e-03,
-1.6362000e-01,9.60000e-03,
-1.6360000e-01,9.60000e-03,
-1.6357999e-01,9.60000e-03,
-1.6355999e-01,9.60000e-03,
-1.6353999e-01,9.60000e-03,
-1.6351999e-01,9.60000e-03,
-1.6350000e-01,9.60000e-03,
-1.6347998e-01,9.60000e-03,
-1.6345999e-01,9.60000e-03,
-1.6343999e-01,9.60000e-03,
-1.6341999e-01,9.60000e-03,
-1.6339999e-01,9.60000e-03,
-1.6338000e-01,9.60000e-03,
-1.6335998e-01,9.60000e-03,
-1.6333999e-01,9.60000e-03,
-1.6331999e-01,9.60000e-03,
-1.6329999e-01,9.60000e-03,
-1.6328000e-01,9.60000e-03,
-1.6326000e-01,9.60000e-03,
-1.6323999e-01,9.60000e-03,
-1.6321999e-01,9.60000e-03,
-1.6319999e-01,9.60000e-03,
-1.6317999e-01,9.60000e-03,
-1.6316000e-01,9.60000e-03,
-1.6313998e-01,9.60000e-03,
-1.6311999e-01,8.80000e-03,
-1.6309999e-01,8.80000e-03,
-1.6307999e-01,8.80000e-03,
-1.6305999e-01,8.80000e-03,
-1.6304000e-01,8.80000e-03,
-1.6301998e-01,8.00000e-03,
-1.6299999e-01,8.80000e-03,
-1.6297999e-01,8.80000e-03,
-1.6295999e-01,8.80000e-03,
-1.6294000e-01,8.80000e-03,
-1.6291998e-01,8.80000e-03,
-1.6289999e-01,8.00000e-03,
-1.6287999e-01,8.00000e-03,
-1.6285999e-01,7.20000e-03,
-1.6283999e-01,7.20000e-03,
-1.6282000e-01,7.20000e-03,
-1.6279998e-01,8.00000e-03,
-1.6277999e-01,8.00000e-03,
-1.6275999e-01,8.00000e-03,
-1.6273999e-01,8.00000e-03,
-1.6271999e-01,8.00000e-03,
-1.6270000e-01,8.00000e-03,
-1.6267999e-01,8.00000e-03,
-1.6265999e-01,8.00000e-03,
-1.6263999e-01,8.00000e-03,
-1.6261999e-01,8.80000e-03,
-1.6260000e-01,8.00000e-03,
-1.6257998e-01,8.00000e-03,
