f	f_err	U_A1	A1_err	U_A2	A2_err	U_A3	A3_err	U_A4	A4_err	U_A5	A5_err
100	0	7.40	0.01	2.68	0.01	1.58	0.01	1.60	0.01	0	0
200	0.1	6.64	0.01	2.64	0.01	1.55	0.02	1.57	0.01	0	0
500	0.1	6.50	0.02	2.60	0.01	1.54	0.01	1.55	0.01	0.702	0.002
1000	10	6.24	0.01	2.58	0.01	1.53	0.01	1.54	0.01	1.10	0.01	
2000	10	5.44	0.01	2.52	0.02	1.53	0.01	1.48	0.01	1.40	0.01
5000	10	3.44	0.01	2.18	0.01	1.53	0.01	1.20	0.01	1.54	0.01
10000	100	1.83	0.01	1.51	0.01	1.50	0.01	0.796	0.001	1.53	0.01
20000	100	0.949	0.001	0.880	0.002	1.38	0.01	0.444	0.001	1.42	0.01
50000	100	0.390	0.002	0.378	0.001	0.952	0.001	0.185	0.001	0	0
100000	500	0.193	0.001	0.190	0.001	0.582	0.002	0.0950	0.0002	0	0
200000	500	0.100	0.002	0.0962	0.0002	0.313	0.001	0.0518	0.0002	0	0
500000	500	0.039	0.001	0.0386	0.0004	0.125	0.001	0.0284	0.0002	0	0
