F [Hz]	dF[Hz]Uss,h[V]dUss,h[V]Ih [mA]	dIh [mA]Uh [V]	dUh[V]
20	0.1	1.44	0.01	303.7	0.1	3.4	0.1
40.5	0.1	2.10	0.01	212.9	0.1	3.6	0.1
60.2	0.1	2.28	0.02	157.0	0.1	3.7	0.1
80.0	0.1	2.36	0.02	122.6	0.1	3.7	0.1
100	1	2.40	0.02	100.2	0.1	3.4	0.1
120	1	2.42	0.02	84.5	0.1	3.8	0.1
140	1	2.44	0.02	72.8	0.1	3.8	0.1
160	1	2.46	0.02	63.9	0.1	3.8	0.1
180	1	2.46	0.02	56.7	0.1	3.8	0.1
200	1	2.48	0.02	51.2	0.1	3.4	0.1
400	1	2.48	0.02	25.8	0.1	3.8	0.1
602	1	2.48	0.02	17.3	0.1	3.8	0.1
808	1	2.50	0.02	12.9	0.1	3.8	0.1
1000	10	2.50	0.02	10.4	0.1	3.8	0.1
1230	10	2.50	0.02	8.49	0.01	3.8	0.1
1400	10	2.50	0.02	7.42	0.01	3.8	0.1
1590	10	2.52	0.02	6.56	0.01	3.8	0.1
1800	10	2.54	0.02	5.84	0.01	3.8	0.1
2000	10	2.60	0.02	5.20	0.01	3.8	0.1
